,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
8347,8.775433097,-3.99461078,-1.846490107,-1.72264,1.820000052,-4.650000095,3.45709
6760,7.877110936,8.538095113,-2.169729223,0.3135,2.950000048,-2.279999971,2.40774
3907,11.08995853,0.299998856,0.989996062,-0.9375,-1.870000005,5.960000038,2.40895
8974,10.44249546,1.282526514,-2.870425856,-0.648506,2.24000001,-5.610000134,1.69171
6826,8.071806147,-0.728611846,-1.885499889,-11.6106,-2.349999905,-1.450000048,4.99367
865,8.666944758,0.194883954,10.75358232,-1.53706,-0.600000024,6.099999905,1.27105
4409,9.290042125,3.630020848,1.220003495,3.034,-2.119999886,7.320000172,4.38816
5046,4.366968365,-0.928992276,8.854016978,-0.03,-4.329999924,7.489999771,2.96579
10349,5.963355962,11.69803502,-0.635445461,-0.613905,-2.420000076,-3.059999943,1.76595
2191,-0.294409315,-14.36385243,-9.189244533,2.68542,0.200000003,-4.300000191,2.69008
2563,-8.472698869,-16.73791592,-4.531441786,3.11613,4,-0.600000024,3.65466
5612,1.637973163,-2.518458719,14.30002792,-2.02,-4.889999866,8.899999619,1.42842
4649,4.909969728,-9.490027866,-1.022756477,-3.05867,4.769999981,-1.340000033,5.4393
1386,-0.019432413,-6.122983184,-11.43052821,-15.2347,0.200000003,-2.5,2.40012
5871,-7.716060507,-17.87898042,-2.475008165,-0.93,9999.990234,9999.990234,1.97316
6516,3.579296958,12.51159144,-1.294198648,-0.02,-1.820000052,4.449999809,3.11105
3868,9.609994245,-2.840001384,0.170000122,-2.17967,-5.340000153,1.340000033,2.7719
9012,10.64470569,0.533224566,-2.92070426,-0.115923,-1.350000024,-4.920000076,2.08211
1882,4.940968248,9.310927751,-8.901044412,0.656117,1.5,-1.600000024,1.26023
