,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
11864,-5.3129272,-18.48644008,0.325182907,-0.791698,0.01,-3.480000019,2.31287
4769,4.726607183,3.479105456,-8.719146628,4.91399,-2.690000057,3.799999952,3.25632
13370,8.453449033,-4.977316783,-0.490249077,0.465549,2.779999971,1.299999952,2.91349
11765,-3.656061662,-18.2292938,1.91138037,0.0305937,3.25,0.180000007,1.86313
5598,5.770006022,9.880042631,-2.950009256,0.648333,2.690000057,-2.25999999,3.33803
11013,9.222125078,6.780466825,-3.203776465,-0.0913542,2.789999962,1.940000057,1.3831
14142,9.617013552,-3.758270475,-1.555519405,-0.593123,0.680000007,2.769999981,3.01497
2672,0.999989841,3.949935266,12.05998731,4.7,0.100000001,-3.299999952,3.68
12142,1.594025672,14.80758242,-0.735834628,1.3665,-1.559999943,-2.930000067,2.55421
3307,-3.155082143,-14.31853364,-8.178766057,-4.39508,-3.200000048,3.400000095,1.87855
3551,-2.582898725,11.30994365,-11.47822638,7.85086,-5.78000021,6.730000019,2.74789
8330,-14.91793837,-20.64609538,6.967019008,5.17,-3.660000086,-2.089999914,1.30737
6130,9.01000055,4.170000271,0.220000074,2.10153,1.580000043,5.599999905,3.43975
4311,-4.781892084,-17.08049041,-0.283223919,-3.50459,-6.71999979,1.350000024,2.28348
4689,-1.169333594,14.47576868,1.289998509,0.775893,-3.220000029,4.670000076,4.83925
6346,9.460000525,2.410003327,1.949999521,-0.0598747,-2.869999886,2.640000105,2.40937
7617,0.642500522,-11.65596127,-8.173977656,2.04,-3.299999952,-0.159999996,2.17895
9122,11.00907304,-3.128896356,-2.900959723,1.21437,4.039999962,-2.25,1.57897
5112,-3.124455774,6.745954416,-13.20287884,2.10175,5.610000134,-2.359999895,2.08352
8722,8.689618467,7.041256132,-4.270554132,-2.09257,-2.369999886,1.799999952,1.61107
12094,1.208531176,14.94562286,-1.221783389,-0.1805,2.480000019,2.920000076,1.47684
11112,12.40633912,0.305601385,-3.383972753,0.231561,1.570000052,-2.599999905,0.992632
14967,6.678453413,-12.24937854,-0.470550384,0.122,2.329999924,-3.069999933,1.15
10757,6.320281322,9.064093736,-2.743329912,0.322007,1.529999971,-3.079999924,1.56884
11211,11.12107045,-1.505764087,-2.966892687,0.0192335,-1.340000033,-4.170000076,1.37144
5341,5.129982082,12.19005063,3.300016744,-2.3645,-7.920000076,5.559999943,2.57267
12530,9.246416558,6.506649804,-4.392548841,1.7576,0.870000005,3.849999905,1.26573
6228,5.39996743,-10.77006588,-2.830005916,-0.385667,2.75999999,-4.630000114,2.30646
4472,-8.560386345,-16.69019094,-4.639401596,1.46255,-3.50999999,-6.789999962,3.13689
7706,-2.657988271,-13.84502567,-7.090009219,0.96,1.230000019,-3.660000086,2.40895
5939,5.838844982,-12.17998116,-0.019999969,2.035,0.270000011,0.879999995,2.38474
7844,-5.512980921,12.09399137,12.47699139,-2.68,3.440000057,3.640000105,2.63895
6952,9.701020702,9.62402615,0.526001906,-2.67,5.639999866,1.769999981,1.97316
12414,9.107631128,9.204555444,-3.988487804,-0.586,0.170000002,-3.390000105,0.953895
11648,2.603059887,-14.61789136,-2.471243777,-0.14726,-1.580000043,3.839999914,0.856368
7382,3.379953617,14.03604056,-1.039001473,2.39,3.789999962,-0.219999999,2.71158
3376,-4.651307488,-16.10844435,-5.954230169,-1.20158,-1.700000048,1.600000024,2.01126
3536,-7.843440883,16.55454745,-4.729808689,-0.0557725,-6.239999771,4.519999981,5.14204
2695,5.599965567,-12.17006877,-0.110000343,3.7,-4.599999905,1,0.76
3757,-1.158491936,16.26782572,2.104933553,-0.776552,-3.230000019,5.889999866,3.20846
8777,11.09263023,6.945946065,-3.399997811,0.112031,12.77000046,-4.449999809,2.37017
13047,7.220695136,-2.725765823,-0.930206237,-2.97873,-1.899999976,-1.899999976,4.33368
14006,10.46807834,4.677669623,-4.065812808,0.258239,-6.650000095,-3.809999943,1.45794
6034,3.742088089,11.58999177,-2.152055828,-0.41,-2.00999999,2.059999943,4.29737
4388,-6.712497713,-17.03427955,4.049468755,-4.41436,4.260000229,-3.019999981,1.75896
6267,-3.930072286,-15.3700139,-5.750006945,-0.780831,-0.899999976,-3.99000001,1.89145
4150,-2.643575549,-17.82258033,-4.830644251,2.26294,3.130000114,-2.900000095,2.01256
9163,11.31190159,-4.454781688,-1.908738718,-1.79,4.369999886,-2.789999962,0.92
13012,11.48044783,4.717537835,-4.989083958,0.0415765,0.140000001,1.600000024,1.13789
7598,1.273960999,-11.25647273,-6.575479266,-1.31,0.119999997,-2.289999962,3.17158
2998,-3.436347149,-12.38348669,7.694882505,3.53977,3,2.200000048,3.53718
10585,9.665212999,6.433657024,-3.683871903,1.2925,-0.99000001,2.730000019,1.05921
11361,10.61401812,-3.874010103,-2.037233954,0.632017,-18.38999939,3.690000057,1.54947
10354,12.91055712,-4.145046564,-2.731866458,-0.553,-2.680000067,0.300000012,0.618579
3294,0.318158841,-11.54703371,-10.68433491,-1.73565,-2.099999905,7.300000191,1.7678
9747,9.065719934,8.191809308,-4.288514058,-4.02497,-0.800000012,2.50999999,2.97125
9372,-0.396022025,-14.43726154,-2.053161494,-2.91265,-1.169999957,2.230000019,2.57842
12239,11.02896987,2.459726561,-5.092417918,0.328906,-1.690000057,-0.569999993,1.21838
4135,3.377075466,-9.123967332,4.693342589,0.87834,5.289999962,-1.860000014,6.89233
6544,11.32000476,-4.789998115,-1.399999872,0.449,9999.990234,9999.990234,1.16211
6453,9.780045879,-2.504174231,-0.58000247,0.0545098,-1.039999962,-1.850000024,2.79204
9577,0.781249062,-13.36547704,-0.673097572,0.538341,-2.339999914,2.549999952,1.76114
5840,10.08998465,-4.499993454,-0.68999917,-2.16867,-5.889999866,-1.409999967,1.59628
6197,3.06997087,11.83000658,1.299995315,-0.706667,-5.989999771,-1.039999962,2.73579
2846,3.39821629,-4.69472719,9.107342513,-4.96956,1.600000024,-4.800000191,6.96
10423,9.461441411,-5.288266126,-2.42274845,1.935,-1.879999995,2.25999999,2.08211
3309,-3.451936529,-13.17730987,-7.681695694,-3.17677,-8.600000381,3.299999952,2.50579
8139,4.605976533,-8.416048292,-10.37852399,0.17,-5.659999847,-1.25999999,1.61
3147,2.099938241,6.809596788,9.42273231,-0.658075,-4.900000095,7.400000095,5.05893
13577,10.40543335,3.638108182,-2.203055793,-0.662493,0.389999986,-1.899999976,1.72803
4348,-8.053538127,-17.04288871,-2.264879345,-5.38905,0.25,-5.710000038,3.1525
11557,11.40432973,0.475118954,-3.477487931,-0.457606,1.139999986,3.75999999,1.22941
2904,-5.388489674,-16.31252357,-4.064342195,4.26518,6.900000095,2.200000048,1.78545
6430,1.539955966,-11.82996098,-0.739997419,-0.651765,-3.5,4.710000038,7.36
10404,10.35020862,0.675264488,-3.541016727,-0.026,-2.119999886,3.839999914,2.27821
12703,11.01252805,2.130423554,-1.194226683,2.25425,1.549999952,-0.25999999,1.68747
13025,10.94710082,-1.131002576,-2.695659342,-0.632375,1.200000048,3.930000067,1.56432
13428,11.37274102,1.332080924,-3.441889847,1.289,-0.409999996,-2.089999914,1.24684
5879,8.149964626,-9.01996739,-1.609992595,1.62525,-3.029999971,-2.109999895,2.17895
6724,-13.75139911,-17.20501855,8.675491129,0.93,9999.990234,9999.990234,2.96579
13942,13.78430901,2.350209468,-4.586810031,0.252344,-1.730000019,2.059999943,0.548709
6408,6.350007216,10.64001781,5.130008376,-0.286,-0.819999993,4,1.41874
8444,9.166027834,-0.836704192,-5.639217351,-3.4225,3.720000029,-3.970000029,2.28487
13353,11.66418478,-4.154539562,-2.331633481,-1.26277,-1.870000005,2.319999933,1.03996
7918,-10.84299511,25.15001357,1.097000713,1.33,-1.100000024,6.929999828,1.87632
14908,6.184426195,-10.30254649,-0.792084443,0.473,0.769999981,1.25999999,1.80974
6289,8.339973405,-6.279982388,1.079992267,-0.941558,3.160000086,5.53000021,2.65529
12507,10.328952,6.837990963,-5.015889213,-0.955096,3.25999999,1.269999981,1.30555
6953,8.269972759,8.891967694,0.014000007,-2.54,5.760000229,2,3.18368
14963,6.599656532,-12.19494035,-0.443189006,0.478,-1.00999999,-3.160000086,1.25289
5748,9.659956192,4.589978913,1.479996471,0.0773333,-3.589999914,1.25,3.44153
3993,0.602871468,-1.576386913,-10.99097368,7.58737,-2.910000086,3.430000067,3.7737
3199,8.360160715,7.844764982,8.788291488,1.1879,4.800000191,-0.100000001,0.833744
3266,0.796614345,-2.331976318,-11.4517573,1.04096,-0.800000012,2.700000048,2.36321
6518,8.790019886,-5.620011514,-0.650001445,1.678,-3.140000105,3.980000019,3.30716
3898,5.420506215,2.307935907,-9.159752664,0.858986,3.529999971,1.830000043,1.77947
6740,-6.582023294,6.053481622,12.86150414,0.25,1.5,-6.71999979,4.91474
14954,6.031865059,-11.79130719,-0.274381723,0.85,1.289999962,-4.039999962,1.2418
8679,11.52424233,2.826807878,-2.680178168,2.4735,-10.78999996,9.609999657,1.20689
11665,2.750887008,-13.13576127,-2.090144183,-0.736518,-0.99000001,2.730000019,2.65335
11478,11.22341463,0.221393728,-3.602862338,-2.687,-0.959999979,-2.470000029,2.21163
12586,11.19151367,4.655197892,-3.300842398,0.9802,-0.300000012,-2.339999914,1.95391
9241,9.739211744,-5.564267631,-0.532784031,1.354,1.070000052,-3.470000029,1.86542
5378,9.237535126,-6.819972831,-1.699991653,-2.29,0.949999988,-5.260000229,1.54584
10067,7.15514342,5.586235118,-2.200390701,-4.29409,0.100000001,1.870000005,4.7028
8352,-11.87250776,-21.2479647,-6.260995048,2.65,1.799999952,0.100000001,1.56158
6056,7.790033147,8.450032477,-1.84001065,-0.56,1.74000001,3.430000067,2.72368
5694,-0.359954461,-14.81998626,1.6299962,0.134333,3.349999905,-3.670000076,3.65418
5980,-0.750020267,-14.44004333,0.240000713,3.775,0,4.380000114,3.46816
6509,11.6900281,5.050012536,2.600004987,-1.39,0.629999995,4.860000134,0.863398
14167,9.527563286,-3.939860908,-1.853360179,-0.266533,0.560000002,-2.400000095,2.07174
6937,8.610978242,9.904970434,0.55699791,0.1,1.830000043,2.50999999,1.76737
14829,8.836235277,8.746296967,-3.773073992,0.468633,0.980000019,-8.220000267,1.77475
7904,-8.458059737,20.57742689,10.11097964,-0.36,-2.49000001,1.100000024,1.97316
5237,-3.892198571,18.24458365,-3.23822492,-1.12396,6.230000019,-2.180000067,1.5576
6900,3.009023199,1.234008017,8.915989658,-1.39,-1.889999986,0.159999996,3.07474
8214,-5.163019117,-11.92198386,11.84799309,-3.76,-0.109999999,0.209999993,2.69947
6437,-5.470068366,-12.37999117,-1.519999627,-6.19149,-3.539999962,5.179999828,5.75434
8930,12.20662676,-0.258294143,-3.267007885,2.71297,-0.230000004,10.53999996,2.82961
12014,2.39672363,16.94903033,0.14927054,0.960394,-0.790000021,1.080000043,1.34368
3589,-2.626038794,13.91138005,-9.269377337,-7.52861,-2.25999999,0.029999999,3.24891
14701,7.436001556,7.944350877,-4.286398498,3.09152,1.090000033,-2.339999914,1.76153
10433,10.61062748,-5.149591808,-2.696292057,0.6,0.140000001,2.910000086,2.03126
11186,12.05864203,4.5320938,-3.880643538,0.729501,-0.200000003,-1.25,1.50406
11023,11.63943835,-0.199540469,-3.167555168,0.858041,1.269999981,1.549999952,2.21662
8276,-9.876453019,-12.6069842,14.26947214,2.07,-0.769999981,-4.440000057,2.49368
11857,-6.043653962,-18.3872228,-1.615556222,-1.78969,-1.210000038,-3.109999895,2.34675
9866,9.319616252,7.212891054,-3.060494413,-0.297664,1.169999957,3.460000038,2.48373
4921,2.077425997,0.170222092,-10.95944481,1.51001,-3.819999933,5.599999905,3.35387
9414,-0.805646276,-14.32186307,2.528791934,-0.881503,-1.960000038,-1.789999962,2.09421
5552,-0.099979697,-18.78003182,5.500007599,-0.204589,-4.420000076,1.769999981,1.88294
8238,-5.164936495,-20.98904917,-7.857012618,-0.84,-2.00999999,2.140000105,0.657719
6151,2.2499149,-18.36001593,-2.489991899,0.402737,-0.409999996,-1.070000052,0.942669
4736,0.409670353,15.38227703,0.762264521,1.2653,0.01,-4.679999828,2.56204
11812,-1.016769799,-16.03016498,-1.016326742,-0.859635,9999.990234,9999.990234,1.40938
10061,7.867953585,5.658345927,-2.360607837,3.6407,0.209999993,1.909999967,4.3235
4543,-0.275133919,5.041135473,-12.57562229,1.98993,0.419999987,-7.659999847,5.43984
3171,5.649804385,0.752671673,-8.256164485,-3.32061,-5.099999905,4.099999905,1.99653
6254,9.55999741,1.100000006,1.100004022,-10.9693,0.629999995,-1.549999952,1.93604
14968,6.687292956,-12.25538372,-0.4735308,-0.0979927,2.319999933,-3.170000076,1.15
4237,-4.915353688,-17.31683197,-6.01344145,2.84621,-7.639999866,9.199999809,2.73735
15024,10.29149831,-2.207814868,-2.251189387,0.616,0,-0.639999986,2.19105
5382,5.109992568,-9.449992249,-3.079994037,0.16,-1.779999971,-5.230000019,4.06468
